Project	Export	started	ended	Duration (min)	machine
BUS2	E400	06.05.2017 00:19	06.05.2017 03:50	211	PC37156
BUS2	V330-1	06.05.2017 00:11	06.05.2017 00:19	8	PC37156
SUS	RIV	05.05.2017 21:04	06.05.2017 00:11	187	PC37156
BUS2	V330-1	05.05.2017 20:56	05.05.2017 21:04	8	PC37156
SUS	RIE	05.05.2017 20:28	05.05.2017 20:56	28	PC37156
BUS2	V360	05.05.2017 19:54	05.05.2017 20:28	34	PC37156
BUS2	V330-3	05.05.2017 16:18	05.05.2017 16:29	11	PC36132
BUS2	E400	05.05.2017 15:57	05.05.2017 16:18	21	PC36132
BUS2	V330-2	05.05.2017 15:45	05.05.2017 15:57	12	PC36132
BUS2	V340	05.05.2017 15:30	05.05.2017 15:45	15	PC36132
SUS	RIE	05.05.2017 11:08	05.05.2017 11:34	26	PC37156
BUS2	V360	05.05.2017 09:21	05.05.2017 11:08	107	PC37156
BUS2	V330-3	05.05.2017 09:11	05.05.2017 09:21	10	PC37156
BUS2	V300	05.05.2017 09:04	05.05.2017 09:56	52	PC36132
BUS2	V330-2	05.05.2017 08:59	05.05.2017 09:11	12	PC37156
BUS2	E400	04.05.2017 23:14	05.05.2017 03:52	278	PC37156
BUS2	V340	04.05.2017 23:00	04.05.2017 23:14	14	PC37156
BUS2	E400	04.05.2017 11:20	04.05.2017 14:48	208	PC37156
BUS2	V290	04.05.2017 11:14	04.05.2017 11:20	6	PC37156
BUS2	V340	04.05.2017 11:00	04.05.2017 11:14	14	PC37156
BUS2	V340	03.05.2017 23:00	03.05.2017 23:14	14	PC37156
BUS2	V330-2	03.05.2017 12:43	03.05.2017 12:53	10	PC37156
BUS2	V330-1	03.05.2017 12:35	03.05.2017 12:43	8	PC37156
BUS2	V360	03.05.2017 11:28	03.05.2017 12:35	67	PC37156
BUS2	V330-3	03.05.2017 11:19	03.05.2017 11:28	9	PC37156
BUS2	V290	03.05.2017 11:14	03.05.2017 11:19	5	PC37156
BUS2	V340	03.05.2017 11:00	03.05.2017 11:13	13	PC37156
SUS	RIE	03.05.2017 08:00	03.05.2017 08:29	29	PC37156
SUS	RIV	03.05.2017 05:10	03.05.2017 08:00	170	PC37156
BUS2	E400	03.05.2017 00:34	03.05.2017 05:10	276	PC37156
BUS2	V330-3	03.05.2017 00:25	03.05.2017 00:34	9	PC37156
BUS2	V330-2	03.05.2017 00:15	03.05.2017 00:25	10	PC37156
BUS2	V340	03.05.2017 00:00	03.05.2017 00:14	14	PC37156
BUS2	V360	02.05.2017 23:07	02.05.2017 23:46	39	PC37156
BUS2	V330-1	02.05.2017 23:00	02.05.2017 23:07	7	PC37156
BUS2	V330-2	02.05.2017 22:19	02.05.2017 22:30	11	PC37156
BUS2	V330-2	02.05.2017 13:49	02.05.2017 13:59	10	PC37156
BUS2	E400	02.05.2017 13:28	02.05.2017 13:49	21	PC37156
BUS2	E400	02.05.2017 13:09	02.05.2017 13:27	18	PC37156
BUS2	V340	02.05.2017 12:53	02.05.2017 13:09	16	PC37156
BUS2	V290	02.05.2017 12:48	02.05.2017 12:53	5	PC37156
BUS2	V330-1	02.05.2017 12:40	02.05.2017 12:48	8	PC37156
BUS2	V330-3	02.05.2017 12:31	02.05.2017 12:40	9	PC37156
